Datum,Type,Aantal
2020-09-09,Totaal,1024.0
2020-09-09,Ziekenhuisopname,
2020-09-09,Overleden,2.0
2020-09-10,Totaal,1137.0
2020-09-10,Ziekenhuisopname,
2020-09-10,Overleden,3.0
2020-09-11,Totaal,1221.0
2020-09-11,Ziekenhuisopname,
2020-09-11,Overleden,4.0
2020-09-12,Totaal,1274.0
2020-09-12,Ziekenhuisopname,
2020-09-12,Overleden,7.0
2020-09-13,Totaal,1282.0
2020-09-13,Ziekenhuisopname,
2020-09-13,Overleden,1.0
2020-09-14,Totaal,1480.0
2020-09-14,Ziekenhuisopname,
2020-09-14,Overleden,0.0
2020-09-15,Totaal,1745.0
2020-09-15,Ziekenhuisopname,
2020-09-15,Overleden,1.0
2020-09-16,Totaal,1827.0
2020-09-16,Ziekenhuisopname,
2020-09-16,Overleden,6.0
2020-09-17,Totaal,2144.0
2020-09-17,Ziekenhuisopname,
2020-09-17,Overleden,9.0
2020-09-18,Totaal,2020.0
2020-09-18,Ziekenhuisopname,
2020-09-18,Overleden,6.0
2020-09-19,Totaal,2093.0
2020-09-19,Ziekenhuisopname,
2020-09-19,Overleden,9.0
2020-09-20,Totaal,2315.0
2020-09-20,Ziekenhuisopname,
2020-09-20,Overleden,6.0
2020-09-21,Totaal,2321.0
2020-09-21,Ziekenhuisopname,
2020-09-21,Overleden,11.0
2020-09-22,Totaal,2644.0
2020-09-22,Ziekenhuisopname,
2020-09-22,Overleden,15.0
2020-09-23,Totaal,2475.0
2020-09-23,Ziekenhuisopname,
2020-09-23,Overleden,5.0
2020-09-24,Totaal,2844.0
2020-09-24,Ziekenhuisopname,
2020-09-24,Overleden,15.0
2020-09-25,Totaal,3014.0
2020-09-25,Ziekenhuisopname,
2020-09-25,Overleden,17.0
2020-09-26,Totaal,2718.0
2020-09-26,Ziekenhuisopname,
2020-09-26,Overleden,14.0
2020-09-27,Totaal,3042.0
2020-09-27,Ziekenhuisopname,
2020-09-27,Overleden,12.0
2020-09-28,Totaal,3015.0
2020-09-28,Ziekenhuisopname,
2020-09-28,Overleden,14.0
2020-09-29,Totaal,3568.0
2020-09-29,Ziekenhuisopname,
2020-09-29,Overleden,16.0
2020-09-30,Totaal,3798.0
2020-09-30,Ziekenhuisopname,
2020-09-30,Overleden,24.0
2020-10-01,Totaal,3688.0
2020-10-01,Ziekenhuisopname,
2020-10-01,Overleden,17.0
2020-10-02,Totaal,4384.0
2020-10-02,Ziekenhuisopname,
2020-10-02,Overleden,11.0
2020-10-03,Totaal,4208.0
2020-10-03,Ziekenhuisopname,
2020-10-03,Overleden,23.0
2020-10-04,Totaal,4430.0
2020-10-04,Ziekenhuisopname,
2020-10-04,Overleden,21.0
2020-10-05,Totaal,4536.0
2020-10-05,Ziekenhuisopname,
2020-10-05,Overleden,29.0
2020-10-06,Totaal,6059.0
2020-10-06,Ziekenhuisopname,
2020-10-06,Overleden,26.0
2020-10-07,Totaal,5785.0
2020-10-07,Ziekenhuisopname,
2020-10-07,Overleden,17.0
2020-10-08,Totaal,6051.0
2020-10-08,Ziekenhuisopname,
2020-10-08,Overleden,17.0
2020-10-09,Totaal,7201.0
2020-10-09,Ziekenhuisopname,
2020-10-09,Overleden,26.0
2020-10-10,Totaal,6229.0
2020-10-10,Ziekenhuisopname,
2020-10-10,Overleden,26.0
2020-10-11,Totaal,6799.0
2020-10-11,Ziekenhuisopname,
2020-10-11,Overleden,30.0
2020-10-12,Totaal,7972.0
2020-10-12,Ziekenhuisopname,
2020-10-12,Overleden,32.0
2020-10-13,Totaal,7654.0
2020-10-13,Ziekenhuisopname,
2020-10-13,Overleden,29.0
2020-10-14,Totaal,8577.0
2020-10-14,Ziekenhuisopname,
2020-10-14,Overleden,33.0
2020-10-15,Totaal,8389.0
2020-10-15,Ziekenhuisopname,
2020-10-15,Overleden,34.0
2020-10-16,Totaal,8555.0
2020-10-16,Ziekenhuisopname,
2020-10-16,Overleden,33.0
2020-10-17,Totaal,7833.0
2020-10-17,Ziekenhuisopname,
2020-10-17,Overleden,44.0
2020-10-18,Totaal,7690.0
2020-10-18,Ziekenhuisopname,
2020-10-18,Overleden,55.0
2020-10-19,Totaal,7719.0
2020-10-19,Ziekenhuisopname,
2020-10-19,Overleden,44.0
2020-10-20,Totaal,9535.0
2020-10-20,Ziekenhuisopname,
2020-10-20,Overleden,49.0
2020-10-21,Totaal,9837.0
2020-10-21,Ziekenhuisopname,
2020-10-21,Overleden,51.0
2020-10-22,Totaal,9687.0
2020-10-22,Ziekenhuisopname,
2020-10-22,Overleden,60.0
2020-10-23,Totaal,9217.0
2020-10-23,Ziekenhuisopname,
2020-10-23,Overleden,61.0
2020-10-24,Totaal,11107.0
2020-10-24,Ziekenhuisopname,
2020-10-24,Overleden,47.0
2020-10-25,Totaal,9397.0
2020-10-25,Ziekenhuisopname,
2020-10-25,Overleden,48.0
2020-10-26,Totaal,10307.0
