Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
556;Maassluis;33216;10-06-2020;23-06-2020;3;9;0;0;0;0
935;Maastricht;121558;10-06-2020;23-06-2020;7;5,8;1;0,8;0;0
420;Medemblik;45104;10-06-2020;23-06-2020;2;4,4;1;2,2;0;0
938;Meerssen;18832;10-06-2020;23-06-2020;2;10,6;0;0;0;0
1948;Meierijstad;81197;10-06-2020;23-06-2020;1;1,2;0;0;0;0
119;Meppel;33902;10-06-2020;23-06-2020;2;5,9;0;0;1;2,9
687;Middelburg;48810;10-06-2020;23-06-2020;0;0;0;0;0;0
1842;Midden-Delfland;19344;10-06-2020;23-06-2020;2;10,3;0;0;0;0
1731;Midden-Drenthe;33182;10-06-2020;23-06-2020;0;0;0;0;0;0
1952;Midden-Groningen;60804;10-06-2020;23-06-2020;0;0;0;0;0;0
815;Mill en Sint Hubert;10941;10-06-2020;23-06-2020;1;9,1;0;0;0;0
1709;Moerdijk;37136;10-06-2020;23-06-2020;1;2,7;0;0;0;0
1978;Molenlanden;43931;10-06-2020;23-06-2020;0;0;0;0;0;0
1955;Montferland;36009;10-06-2020;23-06-2020;9;25;1;2,8;0;0
335;Montfoort;13920;10-06-2020;23-06-2020;1;7,2;0;0;0;0
944;Mook en Middelaar;7847;10-06-2020;23-06-2020;0;0;0;0;0;0
1740;Neder-Betuwe;24342;10-06-2020;23-06-2020;5;20,5;1;4,1;1;4,1
946;Nederweert;17022;10-06-2020;23-06-2020;3;17,6;0;0;0;0
356;Nieuwegein;63461;10-06-2020;23-06-2020;4;6,3;0;0;0;0
569;Nieuwkoop;28809;10-06-2020;23-06-2020;2;6,9;0;0;0;0
267;Nijkerk;43176;10-06-2020;23-06-2020;3;6,9;0;0;0;0
268;Nijmegen;177698;10-06-2020;23-06-2020;18;10,1;0;0;1;0,6
1930;Nissewaard;85237;10-06-2020;23-06-2020;2;2,3;0;0;0;0
1970;Noardeast-Frysl̢n;45251;10-06-2020;23-06-2020;1;2,2;0;0;0;0
1695;Noord-Beveland;7395;10-06-2020;23-06-2020;0;0;0;0;0;0
1699;Noordenveld;31242;10-06-2020;23-06-2020;0;0;0;0;0;0
171;Noordoostpolder;47262;10-06-2020;23-06-2020;0;0;0;0;0;0
575;Noordwijk;43528;10-06-2020;23-06-2020;2;4,6;1;2,3;0;0
820;Nuenen, Gerwen en Nederwetten;23379;10-06-2020;23-06-2020;1;4,3;0;0;0;0
