Datum,Type,Waarde
2020-09-22,Minimum,430.1
2020-09-22,Maximum,718.2
2020-09-22,Geschat aantal besmettelijke mensen,576.8
2020-09-23,Minimum,443.0
2020-09-23,Maximum,740.3
2020-09-23,Geschat aantal besmettelijke mensen,591.7
2020-09-24,Minimum,457.0
2020-09-24,Maximum,758.5
2020-09-24,Geschat aantal besmettelijke mensen,606.7
2020-09-25,Minimum,466.7
2020-09-25,Maximum,775.7
2020-09-25,Geschat aantal besmettelijke mensen,622.3
2020-09-26,Minimum,471.7
2020-09-26,Maximum,793.1
2020-09-26,Geschat aantal besmettelijke mensen,636.3
2020-09-27,Minimum,479.0
2020-09-27,Maximum,814.3
2020-09-27,Geschat aantal besmettelijke mensen,650.3
2020-09-28,Minimum,492.3
2020-09-28,Maximum,840.4
2020-09-28,Geschat aantal besmettelijke mensen,666.3
2020-09-29,Minimum,502.8
2020-09-29,Maximum,856.1
2020-09-29,Geschat aantal besmettelijke mensen,677.9
2020-09-30,Minimum,519.8
2020-09-30,Maximum,873.1
2020-09-30,Geschat aantal besmettelijke mensen,694.7
2020-10-01,Minimum,536.7
2020-10-01,Maximum,893.0
2020-10-01,Geschat aantal besmettelijke mensen,715.9
2020-10-02,Minimum,559.8
2020-10-02,Maximum,923.9
2020-10-02,Geschat aantal besmettelijke mensen,742.9
2020-10-03,Minimum,584.0
2020-10-03,Maximum,957.0
2020-10-03,Geschat aantal besmettelijke mensen,771.4
2020-10-04,Minimum,601.3
2020-10-04,Maximum,985.5
2020-10-04,Geschat aantal besmettelijke mensen,794.5
2020-10-05,Minimum,619.0
2020-10-05,Maximum,1010.3
2020-10-05,Geschat aantal besmettelijke mensen,815.6
