Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-03-08,Altena,1959,Noord-Brabant,4
2020-03-08,West Betuwe,1960,Gelderland,2
2020-03-08,Vijfheerenlanden,1961,Utrecht,1
2020-03-08,Hoeksche Waard,1963,Zuid-Holland,2
2020-03-09,,-1,,1
2020-03-09,Almere,34,Flevoland,1
2020-03-09,Zeewolde,50,Flevoland,1
2020-03-09,Coevorden,109,Drenthe,9
2020-03-09,Emmen,114,Drenthe,1
2020-03-09,Almelo,141,Overijssel,1
2020-03-09,Borne,147,Overijssel,3
2020-03-09,Hellendoorn,163,Overijssel,2
2020-03-09,Tubbergen,183,Overijssel,1
2020-03-09,Zwolle,193,Overijssel,1
2020-03-09,Arnhem,202,Gelderland,2
2020-03-09,Beuningen,209,Gelderland,3
2020-03-09,Culemborg,216,Gelderland,1
2020-03-09,Maasdriel,263,Gelderland,1
2020-03-09,Nijmegen,268,Gelderland,3
2020-03-09,Renkum,274,Gelderland,5
2020-03-09,Tiel,281,Gelderland,1
2020-03-09,Voorst,285,Gelderland,1
2020-03-09,Wijchen,296,Gelderland,1
2020-03-09,Zaltbommel,297,Gelderland,1
2020-03-09,De Bilt,310,Utrecht,6
2020-03-09,Houten,321,Utrecht,13
2020-03-09,Soest,342,Utrecht,7
2020-03-09,Utrecht,344,Utrecht,13
2020-03-09,Wijk bij Duurstede,352,Utrecht,1
2020-03-09,IJsselstein,353,Utrecht,1
2020-03-09,Zeist,355,Utrecht,1
2020-03-09,Amstelveen,362,Noord-Holland,2
2020-03-09,Amsterdam,363,Noord-Holland,4
2020-03-09,Beverwijk,375,Noord-Holland,4
2020-03-09,Blaricum,376,Noord-Holland,1
2020-03-09,Bloemendaal,377,Noord-Holland,1
2020-03-09,Diemen,384,Noord-Holland,2
2020-03-09,Haarlem,392,Noord-Holland,2
2020-03-09,Heemstede,397,Noord-Holland,1
2020-03-09,Huizen,406,Noord-Holland,1
2020-03-09,Zaanstad,479,Noord-Holland,2
2020-03-09,Alphen aan den Rijn,484,Zuid-Holland,1
2020-03-09,Delft,503,Zuid-Holland,1
2020-03-09,'s-Gravenhage,518,Zuid-Holland,2
2020-03-09,Hardinxveld-Giessendam,523,Zuid-Holland,4
2020-03-09,Noordwijk,575,Zuid-Holland,2
2020-03-09,Oegstgeest,579,Zuid-Holland,1
2020-03-09,Ridderkerk,597,Zuid-Holland,1
2020-03-09,Rotterdam,599,Zuid-Holland,14
2020-03-09,Albrandswaard,613,Zuid-Holland,1
