Datum,Provincienaam,Aantal
2020-04-16,Noord-Brabant,6354
2020-04-16,Gelderland,3583
2020-04-16,Drenthe,343
2020-04-16,Friesland,420
2020-04-16,Zuid-Holland,5778
2020-04-16,Groningen,295
2020-04-16,Flevoland,456
2020-04-17,Zeeland,498
2020-04-17,Zuid-Holland,6036
2020-04-17,Utrecht,2174
2020-04-17,Noord-Holland,4548
2020-04-17,Overijssel,2162
2020-04-17,Noord-Brabant,6531
2020-04-17,Friesland,441
2020-04-17,Drenthe,357
2020-04-17,Limburg,3156
2020-04-17,Gelderland,3746
2020-04-17,Flevoland,501
2020-04-17,Groningen,299
2020-04-18,Friesland,452
2020-04-18,Limburg,3271
2020-04-18,Drenthe,376
2020-04-18,Groningen,301
2020-04-18,Flevoland,546
2020-04-18,Zeeland,508
2020-04-18,Overijssel,2214
2020-04-18,Zuid-Holland,6339
2020-04-18,Noord-Brabant,6728
2020-04-18,Gelderland,3907
2020-04-18,Noord-Holland,4704
2020-04-18,Utrecht,2243
2020-04-19,Zuid-Holland,6601
2020-04-19,Zeeland,521
2020-04-19,Groningen,305
2020-04-19,Gelderland,4111
2020-04-19,Overijssel,2290
2020-04-19,Limburg,3370
2020-04-19,Drenthe,389
2020-04-19,Noord-Holland,4835
2020-04-19,Noord-Brabant,6906
2020-04-19,Flevoland,566
2020-04-19,Utrecht,2295
2020-04-19,Friesland,466
2020-04-20,Flevoland,572
2020-04-20,Drenthe,399
2020-04-20,Gelderland,4258
2020-04-20,Noord-Holland,4934
2020-04-20,Zuid-Holland,6742
2020-04-20,Limburg,3450
2020-04-20,Noord-Brabant,7069
2020-04-20,Groningen,309
2020-04-20,Friesland,469
2020-04-20,Utrecht,2339
2020-04-20,Zeeland,528
2020-04-20,Overijssel,2336
2020-04-21,Zeeland,532
2020-04-21,Noord-Brabant,7209
2020-04-21,Overijssel,2401
2020-04-21,Zuid-Holland,6886
2020-04-21,Gelderland,4356
2020-04-21,Drenthe,403
2020-04-21,Groningen,314
2020-04-21,Limburg,3537
2020-04-21,Utrecht,2393
2020-04-21,Friesland,475
2020-04-21,Noord-Holland,5033
2020-04-21,Flevoland,595
2020-04-22,Utrecht,2444
2020-04-22,Flevoland,613
2020-04-22,Overijssel,2436
2020-04-22,Noord-Holland,5140
2020-04-22,Zuid-Holland,7048
2020-04-22,Groningen,317
2020-04-22,Noord-Brabant,7331
2020-04-22,Drenthe,408
2020-04-22,Friesland,488
2020-04-22,Zeeland,540
2020-04-22,Gelderland,4446
2020-04-22,Limburg,3631
2020-04-23,Flevoland,641
2020-04-23,Noord-Brabant,7331
2020-04-23,Gelderland,4582
2020-04-23,Utrecht,2507
2020-04-23,Zuid-Holland,7259
2020-04-23,Noord-Holland,5283
2020-04-23,Zeeland,554
2020-04-23,Limburg,3706
2020-04-23,Overijssel,2498
2020-04-23,Drenthe,423
2020-04-23,Friesland,496
2020-04-23,Groningen,321
2020-04-24,Flevoland,652
2020-04-24,Zeeland,557
2020-04-24,Zuid-Holland,7441
2020-04-24,Noord-Holland,5368
2020-04-24,Utrecht,2576
2020-04-24,Overijssel,2546
2020-04-24,Noord-Brabant,7618
2020-04-24,Groningen,330
2020-04-24,Gelderland,4692
2020-04-24,Limburg,3808
2020-04-24,Drenthe,439
2020-04-24,Friesland,508
2020-04-25,Zeeland,560
2020-04-25,Utrecht,2621
2020-04-25,Groningen,334
2020-04-25,Zuid-Holland,7626
2020-04-25,Overijssel,2584
2020-04-25,Noord-Holland,5442
2020-04-25,Friesland,512
2020-04-25,Flevoland,677
2020-04-25,Noord-Brabant,7745
2020-04-25,Gelderland,4785
2020-04-25,Limburg,3855
2020-04-25,Drenthe,449
2020-04-26,Noord-Holland,5533
2020-04-26,Overijssel,2627
2020-04-26,Zeeland,564
2020-04-26,Drenthe,449
2020-04-26,Noord-Brabant,7896
2020-04-26,Utrecht,2696
2020-04-26,Gelderland,4860
2020-04-26,Friesland,516
2020-04-26,Limburg,3908
2020-04-26,Groningen,334
2020-04-26,Zuid-Holland,7765
2020-04-26,Flevoland,697
2020-04-27,Gelderland,4904
2020-04-27,Flevoland,702
2020-04-27,Limburg,3972
2020-04-27,Friesland,517
2020-04-27,Overijssel,2635
2020-04-27,Drenthe,462
2020-04-27,Zuid-Holland,7861
2020-04-27,Noord-Brabant,7995
2020-04-27,Noord-Holland,5578
2020-04-27,Groningen,334
2020-04-27,Utrecht,2719
2020-04-27,Zeeland,566
2020-04-28,Zuid-Holland,7881
2020-04-28,Groningen,334
2020-04-28,Flevoland,706
2020-04-28,Friesland,520
2020-04-28,Limburg,3990
2020-04-28,Gelderland,4926
2020-04-28,Noord-Brabant,8028
2020-04-28,Drenthe,462
2020-04-28,Zeeland,576
2020-04-28,Noord-Holland,5612
2020-04-28,Overijssel,2640
2020-04-28,Utrecht,2741
2020-04-29,Limburg,4038
2020-04-29,Friesland,523
2020-04-29,Noord-Brabant,8061
2020-04-29,Flevoland,713
2020-04-29,Gelderland,5000
2020-04-29,Groningen,335
2020-04-29,Overijssel,2669
2020-04-29,Zeeland,577
2020-04-29,Utrecht,2759
2020-04-29,Drenthe,467
2020-04-29,Zuid-Holland,7977
2020-04-29,Noord-Holland,5683
2020-04-30,Noord-Brabant,8162
2020-04-30,Overijssel,2706
2020-04-30,Zuid-Holland,8115
2020-04-30,Zeeland,580
2020-04-30,Gelderland,5056
2020-04-30,Noord-Holland,5734
2020-04-30,Utrecht,2806
2020-04-30,Flevoland,722
2020-04-30,Friesland,526
2020-04-30,Drenthe,473
2020-04-30,Limburg,4098
2020-04-30,Groningen,338
2020-05-01,Utrecht,2842
2020-05-01,Noord-Holland,5813
2020-05-01,Noord-Brabant,8252
2020-05-01,Zeeland,583
2020-05-01,Groningen,341
2020-05-01,Drenthe,475
2020-05-01,Flevoland,736
2020-05-01,Zuid-Holland,8232
2020-05-01,Overijssel,2724
2020-05-01,Friesland,529
2020-05-01,Gelderland,5127
2020-05-01,Limburg,4137
2020-05-02,Utrecht,2872
2020-05-02,Noord-Brabant,8330
2020-05-02,Groningen,341
2020-05-02,Limburg,4186
2020-05-02,Friesland,534
2020-05-02,Gelderland,5195
2020-05-02,Zuid-Holland,8326
2020-05-02,Drenthe,481
2020-05-02,Noord-Holland,5884
2020-05-02,Zeeland,586
2020-05-02,Flevoland,751
2020-05-02,Overijssel,2750
2020-05-03,Zuid-Holland,8416
2020-05-03,Noord-Brabant,8404
2020-05-03,Overijssel,2771
2020-05-03,Utrecht,2896
2020-05-03,Groningen,341
2020-05-03,Zeeland,588
2020-05-03,Drenthe,482
2020-05-03,Flevoland,751
2020-05-03,Limburg,4212
2020-05-03,Friesland,534
2020-05-03,Noord-Holland,5919
2020-05-03,Gelderland,5257
2020-05-04,Friesland,536
2020-05-04,Groningen,342
2020-05-04,Overijssel,2783
2020-05-04,Zuid-Holland,8447
2020-05-04,Utrecht,2912
2020-05-04,Noord-Brabant,8435
2020-05-04,Drenthe,486
2020-05-04,Zeeland,593
2020-05-04,Flevoland,756
2020-05-04,Limburg,4256
2020-05-04,Gelderland,5282
2020-05-04,Noord-Holland,5942
2020-05-05,Drenthe,489
2020-05-05,Friesland,535
2020-05-05,Flevoland,771
2020-05-05,Gelderland,5311
2020-05-05,Zeeland,595
2020-05-05,Groningen,345
2020-05-05,Utrecht,2964
2020-05-05,Limburg,4270
2020-05-05,Overijssel,2800
2020-05-05,Noord-Brabant,8468
2020-05-05,Noord-Holland,6012
2020-05-05,Zuid-Holland,8527
2020-05-06,Limburg,4290
2020-05-06,Noord-Holland,6070
2020-05-06,Zuid-Holland,8581
2020-05-06,Noord-Brabant,8485
2020-05-06,Zeeland,607
2020-05-06,Friesland,540
2020-05-06,Flevoland,788
2020-05-06,Groningen,346
2020-05-06,Utrecht,2967
2020-05-06,Gelderland,5345
2020-05-06,Drenthe,491
2020-05-06,Overijssel,2809
2020-05-07,Zeeland,615
2020-05-07,Limburg,4314
2020-05-07,Flevoland,793
2020-05-07,Noord-Brabant,8537
2020-05-07,Gelderland,5370
2020-05-07,Noord-Holland,6120
2020-05-07,Groningen,347
2020-05-07,Overijssel,2827
2020-05-07,Friesland,543
2020-05-07,Zuid-Holland,8678
2020-05-07,Drenthe,491
2020-05-07,Utrecht,3139
2020-05-08,Groningen,347
2020-05-08,Zuid-Holland,8760
2020-05-08,Drenthe,492
2020-05-08,Utrecht,3161
2020-05-08,Zeeland,620
2020-05-08,Noord-Holland,6162
2020-05-08,Gelderland,5408
2020-05-08,Noord-Brabant,8573
2020-05-08,Limburg,4358
2020-05-08,Overijssel,2847
2020-05-08,Flevoland,803
2020-05-08,Friesland,562
2020-05-09,Zeeland,621
2020-05-09,Friesland,566
2020-05-09,Zuid-Holland,8842
2020-05-09,Limburg,4381
2020-05-09,Utrecht,3189
