Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-04-19,339,Renswoude,Utrecht,26,5
2020-04-19,340,Rhenen,Utrecht,26,4
2020-04-19,342,Soest,Utrecht,26,8
2020-04-19,344,Utrecht,Utrecht,26,61
2020-04-19,345,Veenendaal,Utrecht,26,9
2020-04-19,351,Woudenberg,Utrecht,26,1
2020-04-19,352,Wijk bij Duurstede,Utrecht,26,1
2020-04-19,353,IJsselstein,Utrecht,26,23
2020-04-19,355,Zeist,Utrecht,26,12
2020-04-19,356,Nieuwegein,Utrecht,26,10
2020-04-19,358,Aalsmeer,Noord-Holland,27,2
2020-04-19,361,Alkmaar,Noord-Holland,27,19
2020-04-19,362,Amstelveen,Noord-Holland,27,29
2020-04-19,363,Amsterdam,Noord-Holland,27,113
2020-04-19,370,Beemster,Noord-Holland,27,1
2020-04-19,373,Bergen (NH.),Noord-Holland,27,3
2020-04-19,375,Beverwijk,Noord-Holland,27,5
2020-04-19,376,Blaricum,Noord-Holland,27,0
2020-04-19,377,Bloemendaal,Noord-Holland,27,3
2020-04-19,383,Castricum,Noord-Holland,27,8
2020-04-19,384,Diemen,Noord-Holland,27,6
2020-04-19,385,Edam-Volendam,Noord-Holland,27,0
2020-04-19,388,Enkhuizen,Noord-Holland,27,4
2020-04-19,392,Haarlem,Noord-Holland,27,45
2020-04-19,394,Haarlemmermeer,Noord-Holland,27,17
2020-04-19,396,Heemskerk,Noord-Holland,27,8
2020-04-19,397,Heemstede,Noord-Holland,27,27
2020-04-19,398,Heerhugowaard,Noord-Holland,27,7
2020-04-19,399,Heiloo,Noord-Holland,27,5
2020-04-19,400,Den Helder,Noord-Holland,27,0
2020-04-19,402,Hilversum,Noord-Holland,27,3
2020-04-19,405,Hoorn,Noord-Holland,27,11
2020-04-19,406,Huizen,Noord-Holland,27,3
2020-04-19,415,Landsmeer,Noord-Holland,27,2
2020-04-19,416,Langedijk,Noord-Holland,27,2
2020-04-19,417,Laren,Noord-Holland,27,1
2020-04-19,420,Medemblik,Noord-Holland,27,6
2020-04-19,431,Oostzaan,Noord-Holland,27,1
2020-04-19,432,Opmeer,Noord-Holland,27,1
2020-04-19,437,Ouder-Amstel,Noord-Holland,27,0
2020-04-19,439,Purmerend,Noord-Holland,27,15
2020-04-19,441,Schagen,Noord-Holland,27,2
2020-04-19,448,Texel,Noord-Holland,27,1
2020-04-19,450,Uitgeest,Noord-Holland,27,1
2020-04-19,451,Uithoorn,Noord-Holland,27,1
